CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-3462,CWE-74 - CWE definition,74,APT,2019-01-28,Exec Code
CVE-2016-1252,CWE-417 - CWE definition,417,APT,2017-12-05,Bypass
CVE-2014-7206,CWE-59 - CWE definition,59,APT,2014-10-15,
CVE-2014-6273,CWE-119 - CWE definition,119,APT,2014-09-30,DoS Exec Code Overflow
CVE-2014-0490,CWE-20 - CWE definition,20,APT,2014-11-03,Exec Code
CVE-2014-0489,CWE-20 - CWE definition,20,APT,2014-11-03,Exec Code
CVE-2014-0488,CWE-20 - CWE definition,20,APT,2014-11-03,
CVE-2014-0487,,,APT,2014-11-03,
CVE-2014-0478,CWE-20 - CWE definition,20,APT,2014-06-17,
CVE-2013-1051,CWE-20 - CWE definition,20,APT,2013-03-21,
CVE-2012-3587,CWE-20 - CWE definition,20,APT,2012-06-19,
CVE-2012-0961,CWE-200 - CWE definition,200,APT,2012-12-26,+Info
CVE-2012-0954,CWE-20 - CWE definition,20,APT,2012-06-19,
CVE-2011-3634,CWE-200 - CWE definition,200,APT,2014-02-28,+Info
CVE-2011-1829,CWE-20 - CWE definition,20,APT,2011-07-26,
CVE-2009-1358,,,APT,2009-04-21,
CVE-2009-1300,CWE-20 - CWE definition,20,APT,2009-04-16,
