CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-8283,CWE-22 - CWE definition,22,Dpkg,2017-04-26,Dir. Trav.
CVE-2015-0860,CWE-189 - CWE definition,189,Dpkg,2015-12-03,Exec Code Overflow
CVE-2015-0840,CWE-284 - CWE definition,284,Dpkg,2015-04-13,Bypass
CVE-2014-8625,CWE-134 - CWE definition,134,Dpkg,2015-01-20,DoS Exec Code
CVE-2014-3227,CWE-22 - CWE definition,22,Dpkg,2014-05-30,Dir. Trav.
CVE-2014-3127,CWE-22 - CWE definition,22,Dpkg,2014-05-13,Dir. Trav.
CVE-2014-0471,CWE-22 - CWE definition,22,Dpkg,2014-04-30,Dir. Trav.
CVE-2011-0402,CWE-59 - CWE definition,59,Dpkg,2011-01-10,
CVE-2010-1679,CWE-22 - CWE definition,22,Dpkg,2011-01-10,Dir. Trav.
CVE-2010-0396,CWE-22 - CWE definition,22,Dpkg,2010-03-15,Dir. Trav.
CVE-2004-2768,CWE-264 - CWE definition,264,Dpkg,2010-06-08,+Priv
