Product,URL,Num_Vulnerabilities
A2ps,/vulnerability-list/vendor_id-72/product_id-4046/GNU-A2ps.html,5,4046,72,Application
Adns,/vulnerability-list/vendor_id-72/product_id-14951/GNU-Adns.html,8,14951,72,Application
Anubis,/vulnerability-list/vendor_id-72/product_id-3901/GNU-Anubis.html,2,3901,72,Application
Aspell,/vulnerability-list/vendor_id-72/product_id-3716/GNU-Aspell.html,3,3716,72,Application
Automake,/vulnerability-list/vendor_id-72/product_id-18502/GNU-Automake.html,2,18502,72,Application
Bash,/vulnerability-list/vendor_id-72/product_id-21050/GNU-Bash.html,17,21050,72,Application
Binutils,/vulnerability-list/vendor_id-72/product_id-6825/GNU-Binutils.html,196,6825,72,Application
Binutils Gold,/vulnerability-list/vendor_id-72/product_id-71672/GNU-Binutils-Gold.html,1,71672,72,Application
Bison,/vulnerability-list/vendor_id-72/product_id-86839/GNU-Bison.html,2,86839,72,Application
Cfengine,/vulnerability-list/vendor_id-72/product_id-1041/GNU-Cfengine.html,6,1041,72,Application
Cflow,/vulnerability-list/vendor_id-72/product_id-59240/GNU-Cflow.html,3,59240,72,Application
Chess,/vulnerability-list/vendor_id-72/product_id-1867/GNU-Chess.html,4,1867,72,Application
Classpath,/vulnerability-list/vendor_id-72/product_id-15725/GNU-Classpath.html,1,15725,72,Application
Coreutils,/vulnerability-list/vendor_id-72/product_id-5075/GNU-Coreutils.html,9,5075,72,Application
Cpio,/vulnerability-list/vendor_id-72/product_id-5080/GNU-Cpio.html,9,5080,72,Application
CVS,/vulnerability-list/vendor_id-72/product_id-40040/GNU-CVS.html,1,40040,72,Application
Data Display Debugger,/vulnerability-list/vendor_id-72/product_id-2545/GNU-Data-Display-Debugger.html,1,2545,72,Application
ED,/vulnerability-list/vendor_id-72/product_id-1094/GNU-ED.html,4,1094,72,Application
Eglibc,/vulnerability-list/vendor_id-72/product_id-20649/GNU-Eglibc.html,3,20649,72,Application
Emacs,/vulnerability-list/vendor_id-72/product_id-741/GNU-Emacs.html,20,741,72,Application
Enscript,/vulnerability-list/vendor_id-72/product_id-1800/GNU-Enscript.html,5,1800,72,Application
Escript,/vulnerability-list/vendor_id-72/product_id-15742/GNU-Escript.html,1,15742,72,Application
Exosip,/vulnerability-list/vendor_id-72/product_id-64154/GNU-Exosip.html,1,64154,72,Application
Fileutils,/vulnerability-list/vendor_id-72/product_id-2008/GNU-Fileutils.html,3,2008,72,Application
Findutils,/vulnerability-list/vendor_id-72/product_id-1521/GNU-Findutils.html,2,1521,72,Application
Finger Service,/vulnerability-list/vendor_id-72/product_id-122/GNU-Finger-Service.html,1,122,72,Application
Fingerd,/vulnerability-list/vendor_id-72/product_id-123/GNU-Fingerd.html,3,123,72,Application
Flash Player,/vulnerability-list/vendor_id-72/product_id-11072/GNU-Flash-Player.html,1,11072,72,Application
Flim,/vulnerability-list/vendor_id-72/product_id-3622/GNU-Flim.html,1,3622,72,Application
Fribidi,/vulnerability-list/vendor_id-72/product_id-75615/GNU-Fribidi.html,1,75615,72,Application
G++,/vulnerability-list/vendor_id-72/product_id-959/GNU-G-.html,0,959,72,Application
Gama,/vulnerability-list/vendor_id-72/product_id-95613/GNU-Gama.html,1,95613,72,Application
GCC,/vulnerability-list/vendor_id-72/product_id-960/GNU-GCC.html,9,960,72,Application
GDB,/vulnerability-list/vendor_id-72/product_id-5321/GNU-GDB.html,6,5321,72,Application
Gettext,/vulnerability-list/vendor_id-72/product_id-4701/GNU-Gettext.html,2,4701,72,Application
Gimp,/vulnerability-list/vendor_id-72/product_id-11980/GNU-Gimp.html,3,11980,72,Application
Glibc,/vulnerability-list/vendor_id-72/product_id-767/GNU-Glibc.html,124,767,72,Application
Global,/vulnerability-list/vendor_id-72/product_id-42182/GNU-Global.html,1,42182,72,Application
Gnash,/vulnerability-list/vendor_id-72/product_id-20395/GNU-Gnash.html,3,20395,72,Application
Gnats,/vulnerability-list/vendor_id-72/product_id-4014/GNU-Gnats.html,3,4014,72,Application
Gnu Patch,/vulnerability-list/vendor_id-72/product_id-20583/GNU-Gnu-Patch.html,1,20583,72,Application
Gnu Screen,/vulnerability-list/vendor_id-72/product_id-17190/GNU-Gnu-Screen.html,2,17190,72,Application
Gnubiff,/vulnerability-list/vendor_id-72/product_id-4402/GNU-Gnubiff.html,3,4402,72,Application
Gnulib,/vulnerability-list/vendor_id-72/product_id-70395/GNU-Gnulib.html,1,70395,72,Application
Gnumail,/vulnerability-list/vendor_id-72/product_id-10514/GNU-Gnumail.html,1,10514,72,Application
Gnumeric,/vulnerability-list/vendor_id-72/product_id-457/GNU-Gnumeric.html,1,457,72,Application
Gnump3d,/vulnerability-list/vendor_id-72/product_id-5997/GNU-Gnump3d.html,7,5997,72,Application
Gnusound,/vulnerability-list/vendor_id-72/product_id-62710/GNU-Gnusound.html,1,62710,72,Application
Gnutls,/vulnerability-list/vendor_id-72/product_id-4433/GNU-Gnutls.html,59,4433,72,Application
Gnutls Libtasn1,/vulnerability-list/vendor_id-72/product_id-38055/GNU-Gnutls-Libtasn1.html,1,38055,72,Application
Gpgme,/vulnerability-list/vendor_id-72/product_id-10513/GNU-Gpgme.html,2,10513,72,Application
Grep,/vulnerability-list/vendor_id-72/product_id-23804/GNU-Grep.html,2,23804,72,Application
Groff,/vulnerability-list/vendor_id-72/product_id-1066/GNU-Groff.html,10,1066,72,Application
Grub,/vulnerability-list/vendor_id-72/product_id-27576/GNU-Grub.html,1,27576,72,Application
Grub 2,/vulnerability-list/vendor_id-72/product_id-18384/GNU-Grub-2.html,1,18384,72,Application
Grub Legacy,/vulnerability-list/vendor_id-72/product_id-14856/GNU-Grub-Legacy.html,1,14856,72,Application
Grub2,/vulnerability-list/vendor_id-72/product_id-32736/GNU-Grub2.html,17,32736,72,Application
Guile,/vulnerability-list/vendor_id-72/product_id-35586/GNU-Guile.html,2,35586,72,Application
Guix,/vulnerability-list/vendor_id-72/product_id-76164/GNU-Guix.html,1,76164,72,Application
Guixsd,/vulnerability-list/vendor_id-72/product_id-42930/GNU-Guixsd.html,1,42930,72,Application
GV,/vulnerability-list/vendor_id-72/product_id-9192/GNU-GV.html,2,9192,72,Application
Gzip,/vulnerability-list/vendor_id-72/product_id-1670/GNU-Gzip.html,9,1670,72,Application
G\ \,/vulnerability-list/vendor_id-72/product_id-61803/GNU-G-.html,1,61803,72,Application
Ibackup,/vulnerability-list/vendor_id-72/product_id-15110/GNU-Ibackup.html,1,15110,72,Application
Iceweasel,/vulnerability-list/vendor_id-72/product_id-10909/GNU-Iceweasel.html,1,10909,72,Application
Inet,/vulnerability-list/vendor_id-72/product_id-137/GNU-Inet.html,3,137,72,Application
Inetutils,/vulnerability-list/vendor_id-72/product_id-4157/GNU-Inetutils.html,2,4157,72,Application
