CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-9924,CWE-20 - CWE definition,20,Bash,2019-03-22,Exec Code
CVE-2017-5932,CWE-20 - CWE definition,20,Bash,2017-03-27,+Priv
CVE-2016-9401,CWE-416 - CWE definition,416,Bash,2017-01-23,Bypass
CVE-2016-7543,CWE-20 - CWE definition,20,Bash,2017-01-19,Exec Code
CVE-2016-0634,CWE-78 - CWE definition,78,Bash,2017-08-28,Exec Code
CVE-2014-7187,CWE-119 - CWE definition,119,Bash,2014-09-28,DoS Overflow
CVE-2014-7186,CWE-119 - CWE definition,119,Bash,2014-09-28,DoS Overflow
CVE-2014-7169,CWE-78 - CWE definition,78,Bash,2014-09-24,Exec Code
CVE-2014-6278,CWE-78 - CWE definition,78,Bash,2014-09-30,Exec Code
CVE-2014-6277,CWE-78 - CWE definition,78,Bash,2014-09-27,DoS Exec Code
CVE-2014-6271,CWE-78 - CWE definition,78,Bash,2014-09-24,Exec Code
CVE-2012-6711,CWE-119 - CWE definition,119,Bash,2019-06-18,Exec Code Overflow
CVE-2012-3410,CWE-119 - CWE definition,119,Bash,2012-08-27,Overflow Bypass
CVE-2010-0002,CWE-20 - CWE definition,20,Bash,2010-01-14,
CVE-1999-1383,CWE-264 - CWE definition,264,Bash,1996-09-13,Exec Code +Priv
CVE-1999-0491,CWE-94 - CWE definition,94,Bash,1999-04-20,Exec Code
