CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-1010204,CWE-125 - CWE definition,125,Binutils,7/23/19,DoS
CVE-2019-17451,CWE-190 - CWE definition,190,Binutils,10/10/19,Overflow
CVE-2019-17450,CWE-674 - CWE definition,674,Binutils,10/10/19,DoS
CVE-2019-14444,CWE-190 - CWE definition,190,Binutils,7/30/19,Overflow
CVE-2019-14250,CWE-190 - CWE definition,190,Binutils,7/24/19,Overflow
CVE-2019-12972,CWE-125 - CWE definition,125,Binutils,6/26/19,
CVE-2019-9077,CWE-119 - CWE definition,119,Binutils,2/23/19,Overflow
CVE-2019-9076,CWE-399 - CWE definition,399,Binutils,2/23/19,
CVE-2019-9075,CWE-119 - CWE definition,119,Binutils,2/23/19,Overflow
CVE-2019-9074,CWE-125 - CWE definition,125,Binutils,2/23/19,
CVE-2019-9073,CWE-399 - CWE definition,399,Binutils,2/23/19,
CVE-2019-9072,CWE-399 - CWE definition,399,Binutils,2/23/19,
CVE-2019-9071,CWE-399 - CWE definition,399,Binutils,2/23/19,
CVE-2019-9070,CWE-125 - CWE definition,125,Binutils,2/23/19,
CVE-2018-1000876,CWE-190 - CWE definition,190,Binutils,12/20/18,Exec Code Overflow
CVE-2018-20712,CWE-125 - CWE definition,125,Binutils,1/14/19,
CVE-2018-20673,CWE-190 - CWE definition,190,Binutils,1/4/19,Overflow
CVE-2018-20671,CWE-190 - CWE definition,190,Binutils,1/4/19,Overflow
CVE-2018-20657,CWE-772 - CWE definition,772,Binutils,1/2/19,DoS
CVE-2018-20651,CWE-476 - CWE definition,476,Binutils,1/1/19,DoS
CVE-2018-20623,CWE-416 - CWE definition,416,Binutils,12/31/18,
CVE-2018-20002,CWE-772 - CWE definition,772,Binutils,12/9/18,DoS
CVE-2018-19932,CWE-190 - CWE definition,190,Binutils,12/7/18,Overflow
CVE-2018-19931,CWE-119 - CWE definition,119,Binutils,12/7/18,Overflow
CVE-2018-18701,CWE-835 - CWE definition,835,Binutils,10/29/18,
CVE-2018-18700,CWE-835 - CWE definition,835,Binutils,10/29/18,
