CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-18018,CWE-362 - CWE definition,362,Coreutils,2018-01-03,
CVE-2016-2781,CWE-20 - CWE definition,20,Coreutils,2017-02-07,
CVE-2015-1865,CWE-362 - CWE definition,362,Coreutils,2017-09-20,
CVE-2014-9471,CWE-20 - CWE definition,20,Coreutils,2015-01-16,DoS Exec Code
CVE-2013-0223,CWE-119 - CWE definition,119,Coreutils,2013-11-23,DoS Overflow
CVE-2013-0222,CWE-119 - CWE definition,119,Coreutils,2013-11-23,DoS Overflow
CVE-2013-0221,CWE-20 - CWE definition,20,Coreutils,2013-11-23,DoS Overflow
CVE-2009-4135,CWE-59 - CWE definition,59,Coreutils,2009-12-11,+Priv
CVE-2008-1946,CWE-264 - CWE definition,264,Coreutils,2008-07-28,+Priv
CVE-2005-1039,,,Coreutils,2005-05-02,
