CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-1000383,CWE-200 - CWE definition,200,Emacs,2017-10-31,+Info
CVE-2017-14482,,,Emacs,2017-09-14,Exec Code
CVE-2014-9483,CWE-200 - CWE definition,200,Emacs,2017-08-28,Bypass +Info
CVE-2014-3424,CWE-59 - CWE definition,59,Emacs,2014-05-08,
CVE-2014-3423,CWE-59 - CWE definition,59,Emacs,2014-05-08,
CVE-2014-3422,CWE-59 - CWE definition,59,Emacs,2014-05-08,
CVE-2014-3421,CWE-59 - CWE definition,59,Emacs,2014-05-08,
CVE-2012-3479,,,Emacs,2012-08-25,Exec Code
CVE-2012-0035,,,Emacs,2012-01-19,+Priv
CVE-2010-0825,CWE-264 - CWE definition,264,Emacs,2010-04-05,
CVE-2008-2142,,,Emacs,2008-05-12,Exec Code
CVE-2008-1694,CWE-59 - CWE definition,59,Emacs,2008-04-22,
CVE-2007-6109,CWE-119 - CWE definition,119,Emacs,2007-12-07,DoS Overflow
CVE-2007-5795,,,Emacs,2007-11-02,Bypass
CVE-2007-2833,,,Emacs,2007-06-21,DoS
CVE-2005-0100,,,Emacs,2005-02-07,Exec Code
CVE-2003-1232,,,Emacs,2003-12-31,Exec Code
CVE-2001-1301,,,Emacs,2001-08-07,
CVE-2000-0271,,,Emacs,2000-04-18,
CVE-2000-0270,,,Emacs,2000-04-18,
CVE-2000-0269,,,Emacs,2000-04-18,
