CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-1010025,CWE-200 - CWE definition,200,Glibc,2019-07-15,Bypass +Info
CVE-2019-1010024,CWE-200 - CWE definition,200,Glibc,2019-07-15,Bypass +Info
CVE-2019-1010023,CWE-264 - CWE definition,264,Glibc,2019-07-15,Exec Code
CVE-2019-1010022,CWE-119 - CWE definition,119,Glibc,2019-07-15,Overflow Bypass
CVE-2019-9169,CWE-125 - CWE definition,125,Glibc,2019-02-25,
CVE-2018-1000001,CWE-787 - CWE definition,787,Glibc,2018-01-31,Exec Code
CVE-2018-20796,CWE-674 - CWE definition,674,Glibc,2019-02-25,
CVE-2018-19591,CWE-20 - CWE definition,20,Glibc,2018-12-04,
CVE-2018-11237,CWE-119 - CWE definition,119,Glibc,2018-05-18,Overflow
CVE-2018-11236,CWE-190 - CWE definition,190,Glibc,2018-05-18,Exec Code Overflow
CVE-2018-6551,CWE-119 - CWE definition,119,Glibc,2018-02-02,Overflow
CVE-2018-6485,CWE-190 - CWE definition,190,Glibc,2018-02-01,Overflow
CVE-2017-1000409,CWE-119 - CWE definition,119,Glibc,2018-01-31,Overflow
CVE-2017-1000408,CWE-772 - CWE definition,772,Glibc,2018-01-31,
CVE-2017-1000366,CWE-119 - CWE definition,119,Glibc,2017-06-19,Exec Code Overflow
CVE-2017-18269,CWE-119 - CWE definition,119,Glibc,2018-05-18,DoS Exec Code Overflow
CVE-2017-17426,CWE-190 - CWE definition,190,Glibc,2017-12-05,Overflow
CVE-2017-16997,CWE-426 - CWE definition,426,Glibc,2017-12-17,+Priv
CVE-2017-15804,CWE-119 - CWE definition,119,Glibc,2017-10-22,Overflow
CVE-2017-15671,CWE-772 - CWE definition,772,Glibc,2017-10-20,DoS
CVE-2017-15670,CWE-119 - CWE definition,119,Glibc,2017-10-20,Overflow
CVE-2017-12133,CWE-416 - CWE definition,416,Glibc,2017-09-07,
CVE-2017-12132,CWE-770 - CWE definition,770,Glibc,2017-08-01,
CVE-2017-8804,CWE-502 - CWE definition,502,Glibc,2017-05-07,DoS
CVE-2016-10739,CWE-20 - CWE definition,20,Glibc,2019-01-21,
