CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2009-5082,CWE-59 - CWE definition,59,Groff,2011-06-30,
CVE-2009-5081,CWE-59 - CWE definition,59,Groff,2011-06-30,
CVE-2009-5080,CWE-59 - CWE definition,59,Groff,2011-06-30,
CVE-2009-5079,CWE-59 - CWE definition,59,Groff,2011-06-30,
CVE-2009-5078,CWE-254 - CWE definition,254,Groff,2011-06-30,
CVE-2009-5044,CWE-59 - CWE definition,59,Groff,2011-06-24,
CVE-2004-1296,,,Groff,2004-12-31,
CVE-2004-0969,,,Groff,2005-02-09,
CVE-2002-0003,,,Groff,2002-02-27,Overflow +Priv
CVE-2001-1022,,,Groff,2001-07-26,Exec Code Bypass
CVE-2000-0803,,,Groff,2000-12-19,+Priv
