CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2016-6131,CWE-20 - CWE definition,20,Libiberty,2017-02-07,DoS Overflow
CVE-2016-4493,CWE-125 - CWE definition,125,Libiberty,2017-02-24,DoS
CVE-2016-4492,CWE-119 - CWE definition,119,Libiberty,2017-02-24,DoS Overflow
CVE-2016-4491,CWE-119 - CWE definition,119,Libiberty,2017-02-24,DoS Overflow
CVE-2016-4490,CWE-190 - CWE definition,190,Libiberty,2017-02-24,DoS Overflow
CVE-2016-4489,CWE-190 - CWE definition,190,Libiberty,2017-02-24,DoS Overflow
CVE-2016-4488,CWE-416 - CWE definition,416,Libiberty,2017-02-24,DoS
CVE-2016-4487,CWE-416 - CWE definition,416,Libiberty,2017-02-24,DoS
CVE-2016-2226,CWE-190 - CWE definition,190,Libiberty,2017-02-24,Exec Code Overflow
CVE-2012-3509,CWE-189 - CWE definition,189,Libiberty,2012-09-05,DoS Overflow
