CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2018-13796,CWE-20 - CWE definition,20,Mailman,2018-07-12,
CVE-2018-5950,CWE-79 - CWE definition,79,Mailman,2018-01-23,XSS
CVE-2018-0618,CWE-79 - CWE definition,79,Mailman,2018-07-26,XSS
CVE-2016-7123,CWE-352 - CWE definition,352,Mailman,2016-09-02,CSRF
CVE-2016-6893,CWE-352 - CWE definition,352,Mailman,2016-09-02,CSRF
CVE-2015-2775,CWE-22 - CWE definition,22,Mailman,2015-04-13,Dir. Trav.
CVE-2011-5024,CWE-79 - CWE definition,79,Mailman,2011-12-29,XSS
CVE-2011-0707,CWE-79 - CWE definition,79,Mailman,2011-02-22,XSS
CVE-2010-3089,CWE-79 - CWE definition,79,Mailman,2010-09-15,XSS
CVE-2006-4624,CWE-94 - CWE definition,94,Mailman,2006-09-07,
CVE-2006-3636,,,Mailman,2006-09-05,XSS
CVE-2006-2941,,,Mailman,2006-09-05,DoS
CVE-2006-2191,,,Mailman,2006-09-19,Exec Code
CVE-2006-1712,,,Mailman,2006-04-11,XSS
CVE-2006-0052,,,Mailman,2006-03-31,DoS
CVE-2005-4153,,,Mailman,2005-12-10,DoS Overflow
CVE-2005-3573,,,Mailman,2005-11-16,DoS
CVE-2005-0202,,,Mailman,2005-05-02,Dir. Trav.
CVE-2005-0080,,,Mailman,2005-05-02,
CVE-2004-1177,,,Mailman,2005-01-10,XSS
CVE-2004-1143,,,Mailman,2004-12-31,
CVE-2004-0412,,,Mailman,2004-08-18,
CVE-2004-0182,,,Mailman,2004-06-01,DoS
CVE-2003-0992,,,Mailman,2004-02-17,XSS
CVE-2003-0991,,,Mailman,2004-03-03,DoS
CVE-2003-0965,,,Mailman,2004-02-17,XSS
CVE-2003-0038,,,Mailman,2003-02-07,XSS
CVE-2002-0855,,,Mailman,2002-09-05,XSS
CVE-2002-0389,,,Mailman,2002-06-18,
CVE-2002-0388,,,Mailman,2002-06-18,XSS
CVE-2001-1132,,,Mailman,2001-09-05,
CVE-2001-0884,,,Mailman,2001-12-21,XSS +Info
CVE-2001-0290,,,Mailman,2001-05-03,
CVE-2000-0861,,,Mailman,2000-11-14,Exec Code
CVE-2000-0701,,,Mailman,2000-10-20,+Priv
