CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-13638,CWE-78 - CWE definition,78,Patch,2019-07-26,
CVE-2019-13636,CWE-59 - CWE definition,59,Patch,2019-07-17,
CVE-2018-1000156,CWE-20 - CWE definition,20,Patch,2018-04-06,Exec Code
CVE-2018-20969,CWE-78 - CWE definition,78,Patch,2019-08-16,
CVE-2018-6952,CWE-415 - CWE definition,415,Patch,2018-02-13,
CVE-2018-6951,CWE-476 - CWE definition,476,Patch,2018-02-13,DoS
CVE-2016-10713,CWE-119 - CWE definition,119,Patch,2018-02-13,Overflow
CVE-2015-1395,CWE-22 - CWE definition,22,Patch,2017-08-25,Dir. Trav.
CVE-2015-1196,CWE-59 - CWE definition,59,Patch,2015-01-21,
CVE-2014-9637,CWE-399 - CWE definition,399,Patch,2017-08-25,DoS
