CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-11640,CWE-119 - CWE definition,119,Recutils,2019-05-01,Overflow
CVE-2019-11639,CWE-119 - CWE definition,119,Recutils,2019-05-01,Overflow
CVE-2019-11638,CWE-125 - CWE definition,125,Recutils,2019-05-01,
CVE-2019-11637,CWE-125 - CWE definition,125,Recutils,2019-05-01,
CVE-2019-6460,CWE-476 - CWE definition,476,Recutils,2019-01-16,
CVE-2019-6459,CWE-399 - CWE definition,399,Recutils,2019-01-16,
CVE-2019-6458,CWE-399 - CWE definition,399,Recutils,2019-01-16,
CVE-2019-6457,CWE-399 - CWE definition,399,Recutils,2019-01-16,
CVE-2019-6456,CWE-476 - CWE definition,476,Recutils,2019-01-16,
CVE-2019-6455,CWE-415 - CWE definition,415,Recutils,2019-01-16,
