CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-9923,CWE-476 - CWE definition,476,TAR,2019-03-22,
CVE-2018-20482,CWE-835 - CWE definition,835,TAR,2018-12-26,DoS
CVE-2016-6321,CWE-22 - CWE definition,22,TAR,2016-12-09,Dir. Trav. Bypass
CVE-2010-0624,CWE-119 - CWE definition,119,TAR,2010-03-15,DoS Exec Code Overflow Mem. Corr.
CVE-2007-4476,CWE-119 - CWE definition,119,TAR,2007-09-04,Overflow
CVE-2007-4131,,,TAR,2007-08-24,Dir. Trav.
CVE-2006-6097,,,TAR,2006-11-24,
CVE-2006-0300,,,TAR,2006-02-23,DoS Exec Code Overflow
CVE-2005-2541,,,TAR,2005-08-10,+Priv
CVE-2005-1918,CWE-22 - CWE definition,22,TAR,2005-12-31,Dir. Trav.
CVE-2002-1216,,,TAR,2002-10-28,
CVE-2002-0399,,,TAR,2002-10-10,Dir. Trav.
CVE-2001-1267,,,TAR,2001-07-12,Dir. Trav.
