CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-5953,CWE-119 - CWE definition,119,Wget,2019-05-17,Exec Code Overflow
CVE-2018-20483,CWE-255 - CWE definition,255,Wget,2018-12-26,+Info
CVE-2017-13090,CWE-119 - CWE definition,119,Wget,2017-10-27,Overflow
CVE-2017-13089,CWE-119 - CWE definition,119,Wget,2017-10-27,Overflow
CVE-2017-6508,CWE-93 - CWE definition,93,Wget,2017-03-07,
CVE-2016-7098,CWE-362 - CWE definition,362,Wget,2016-09-26,Bypass
CVE-2014-4877,CWE-22 - CWE definition,22,Wget,2014-10-29,Exec Code Dir. Trav.
CVE-2010-2252,CWE-20 - CWE definition,20,Wget,2010-07-06,Exec Code
CVE-2009-3490,CWE-310 - CWE definition,310,Wget,2009-09-30,
CVE-2006-6719,,,Wget,2006-12-23,DoS
CVE-2004-2014,,,Wget,2004-12-31,
CVE-2004-1488,,,Wget,2005-04-27,Exec Code
CVE-2004-1487,,,Wget,2005-04-27,Bypass
CVE-2002-1344,,,Wget,2002-12-18,Dir. Trav.
CVE-1999-0402,,,Wget,1999-01-02,
