CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-14867,CWE-78 - CWE definition,78,GIT,2017-09-28,Exec Code
CVE-2013-0308,CWE-20 - CWE definition,20,GIT,2013-03-08,
CVE-2010-3906,CWE-79 - CWE definition,79,GIT,2010-12-17,XSS
CVE-2010-2542,CWE-119 - CWE definition,119,GIT,2010-08-11,Overflow +Priv
CVE-2009-2108,CWE-399 - CWE definition,399,GIT,2009-06-18,DoS
CVE-2008-5916,CWE-264 - CWE definition,264,GIT,2009-01-20,Exec Code
CVE-2008-5517,CWE-94 - CWE definition,94,GIT,2009-01-13,Exec Code
CVE-2008-5516,CWE-78 - CWE definition,78,GIT,2009-01-20,Exec Code
CVE-2008-3546,CWE-119 - CWE definition,119,GIT,2008-08-07,Exec Code Overflow
CVE-2006-0477,,,GIT,2006-01-31,Exec Code Overflow
