Product,URL,Num_Vulnerabilities
Bleach,/vulnerability-list/vendor_id-452/product_id-44376/Mozilla-Bleach.html,1,44376,452
Bonsai,/vulnerability-list/vendor_id-452/product_id-2879/Mozilla-Bonsai.html,4,2879,452
Bugzilla,/vulnerability-list/vendor_id-452/product_id-785/Mozilla-Bugzilla.html,148,785,452
Camino,/vulnerability-list/vendor_id-452/product_id-4755/Mozilla-Camino.html,4,4755,452
Durian Web Application Server,/vulnerability-list/vendor_id-452/product_id-9679/Mozilla-Durian-Web-Application-Server.html,1,9679,452
Firefox,/vulnerability-list/vendor_id-452/product_id-3264/Mozilla-Firefox.html,1873,3264,452
Firefox Esr,/vulnerability-list/vendor_id-452/product_id-22101/Mozilla-Firefox-Esr.html,672,22101,452
Firefox Mobile,/vulnerability-list/vendor_id-452/product_id-22270/Mozilla-Firefox-Mobile.html,20,22270,452
Firefox Os,/vulnerability-list/vendor_id-452/product_id-32200/Mozilla-Firefox-Os.html,14,32200,452
Firefoxos,/vulnerability-list/vendor_id-452/product_id-27245/Mozilla-Firefoxos.html,1,27245,452
Geckb,/vulnerability-list/vendor_id-452/product_id-14456/Mozilla-Geckb.html,1,14456,452
Gecko,/vulnerability-list/vendor_id-452/product_id-3877/Mozilla-Gecko.html,2,3877,452
Libxul,/vulnerability-list/vendor_id-452/product_id-15817/Mozilla-Libxul.html,1,15817,452
Mozilla,/vulnerability-list/vendor_id-452/product_id-889/Mozilla-Mozilla.html,109,889,452
Mozilla Suite,/vulnerability-list/vendor_id-452/product_id-5869/Mozilla-Mozilla-Suite.html,27,5869,452
Mozjpeg,/vulnerability-list/vendor_id-452/product_id-52301/Mozilla-Mozjpeg.html,1,52301,452
Netscape Portable Runtime,/vulnerability-list/vendor_id-452/product_id-26468/Mozilla-Netscape-Portable-Runtime.html,3,26468,452
Network Security Services,/vulnerability-list/vendor_id-452/product_id-4052/Mozilla-Network-Security-Services.html,46,4052,452
NSS,/vulnerability-list/vendor_id-452/product_id-17794/Mozilla-NSS.html,4,17794,452
Nunjucks,/vulnerability-list/vendor_id-452/product_id-46314/Mozilla-Nunjucks.html,1,46314,452
Seamonkey,/vulnerability-list/vendor_id-452/product_id-7048/Mozilla-Seamonkey.html,698,7048,452
Thunderbird,/vulnerability-list/vendor_id-452/product_id-3678/Mozilla-Thunderbird.html,921,3678,452
Thunderbird Esr,/vulnerability-list/vendor_id-452/product_id-22102/Mozilla-Thunderbird-Esr.html,216,22102,452
Zamboni,/vulnerability-list/vendor_id-452/product_id-23528/Mozilla-Zamboni.html,1,23528,452
