CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2015-8512,CWE-284 - CWE definition,284,Firefox Os,2016-01-08,
CVE-2015-8511,CWE-362 - CWE definition,362,Firefox Os,2016-01-08,Bypass
CVE-2015-8510,CWE-79 - CWE definition,79,Firefox Os,2016-01-08,XSS
CVE-2015-5962,CWE-189 - CWE definition,189,Firefox Os,2015-08-07,DoS Mem. Corr.
CVE-2015-5961,CWE-264 - CWE definition,264,Firefox Os,2015-08-07,Bypass
CVE-2015-5960,CWE-284 - CWE definition,284,Firefox Os,2015-08-07,Bypass
CVE-2015-4495,CWE-200 - CWE definition,200,Firefox Os,2015-08-07,+Priv Bypass +Info
CVE-2015-4494,CWE-200 - CWE definition,200,Firefox Os,2015-08-07,+Info
CVE-2015-4489,CWE-119 - CWE definition,119,Firefox Os,2015-08-15,DoS Overflow Mem. Corr.
CVE-2015-4488,,,Firefox Os,2015-08-15,
CVE-2015-4487,CWE-119 - CWE definition,119,Firefox Os,2015-08-15,DoS Overflow Mem. Corr.
CVE-2015-4000,CWE-310 - CWE definition,310,Firefox Os,2015-05-20,
CVE-2015-2745,CWE-79 - CWE definition,79,Firefox Os,2015-08-07,XSS
CVE-2015-2744,CWE-79 - CWE definition,79,Firefox Os,2015-08-07,XSS
