CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2006-2894,CWE-20 - CWE definition,20,Mozilla Suite,2006-06-07,
CVE-2006-2613,CWE-200 - CWE definition,200,Mozilla Suite,2006-05-25,+Info
CVE-2006-1742,,,Mozilla Suite,2006-04-14,Mem. Corr.
CVE-2006-1741,CWE-79 - CWE definition,79,Mozilla Suite,2006-04-14,XSS
CVE-2006-1740,,,Mozilla Suite,2006-04-14,
CVE-2006-1739,CWE-119 - CWE definition,119,Mozilla Suite,2006-04-14,DoS Exec Code Overflow
CVE-2006-1738,,,Mozilla Suite,2006-04-14,DoS
CVE-2006-1737,CWE-189 - CWE definition,189,Mozilla Suite,2006-04-14,DoS Exec Code Overflow
CVE-2006-1736,,,Mozilla Suite,2006-04-14,
CVE-2006-1735,CWE-264 - CWE definition,264,Mozilla Suite,2006-04-14,Exec Code
CVE-2006-1734,,,Mozilla Suite,2006-04-14,Exec Code
CVE-2006-1733,CWE-264 - CWE definition,264,Mozilla Suite,2006-04-14,Exec Code
CVE-2006-1731,CWE-79 - CWE definition,79,Mozilla Suite,2006-04-14,XSS
CVE-2006-1730,CWE-189 - CWE definition,189,Mozilla Suite,2006-04-14,Exec Code Overflow
CVE-2006-1729,CWE-20 - CWE definition,20,Mozilla Suite,2006-04-14,
CVE-2006-1728,,,Mozilla Suite,2006-04-14,Exec Code
CVE-2006-1727,,,Mozilla Suite,2006-04-14,+Priv
CVE-2006-1724,,,Mozilla Suite,2006-04-14,DoS Exec Code
CVE-2006-0749,CWE-399 - CWE definition,399,Mozilla Suite,2006-04-14,DoS Exec Code Mem. Corr.
CVE-2005-4134,,,Mozilla Suite,2005-12-09,DoS Overflow
CVE-2005-2707,,,Mozilla Suite,2005-09-23,
CVE-2005-2706,,,Mozilla Suite,2005-09-23,
CVE-2005-2705,,,Mozilla Suite,2005-09-23,Exec Code Overflow
CVE-2005-2704,,,Mozilla Suite,2005-09-23,
CVE-2005-2703,CWE-94 - CWE definition,94,Mozilla Suite,2005-09-23,
CVE-2005-2702,,,Mozilla Suite,2005-09-23,DoS Exec Code
CVE-2005-2701,,,Mozilla Suite,2005-09-23,Exec Code Overflow
