CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2009-3014,CWE-79 - CWE definition,79,Mozilla,2009-08-31,XSS
CVE-2009-3010,CWE-79 - CWE definition,79,Mozilla,2009-08-31,XSS
CVE-2007-4039,CWE-79 - CWE definition,79,Mozilla,2007-07-27,Exec Code XSS
CVE-2007-3144,,,Mozilla,2007-06-11,
CVE-2007-1794,,,Mozilla,2007-04-02,Exec Code
CVE-2006-6498,,,Mozilla,2006-12-19,DoS Exec Code Mem. Corr.
CVE-2006-0496,,,Mozilla,2006-01-31,XSS
CVE-2006-0292,,,Mozilla,2006-02-02,DoS Exec Code
CVE-2005-4874,CWE-94 - CWE definition,94,Mozilla,2005-12-31,
CVE-2005-4809,,,Mozilla,2005-12-31,
CVE-2005-4685,,,Mozilla,2005-12-31,
CVE-2005-3896,,,Mozilla,2005-11-29,DoS
CVE-2005-2968,,,Mozilla,2005-09-20,Exec Code
CVE-2005-2270,,,Mozilla,2005-07-13,Exec Code
CVE-2005-2269,,,Mozilla,2005-07-13,Exec Code
CVE-2005-2268,,,Mozilla,2005-07-13,
CVE-2005-2266,,,Mozilla,2005-07-13,
CVE-2005-2265,,,Mozilla,2005-07-13,DoS Exec Code
CVE-2005-2263,,,Mozilla,2005-07-13,
CVE-2005-2261,,,Mozilla,2005-07-13,Bypass
CVE-2005-2260,,,Mozilla,2005-07-13,
CVE-2005-2114,,,Mozilla,2005-07-05,DoS
CVE-2005-1937,,,Mozilla,2005-06-14,
CVE-2005-1532,CWE-264 - CWE definition,264,Mozilla,2005-05-12,
CVE-2005-1531,,,Mozilla,2005-05-12,
CVE-2005-1160,,,Mozilla,2005-05-02,+Priv
CVE-2005-1159,,,Mozilla,2005-05-02,DoS Exec Code Bypass
CVE-2005-1157,,,Mozilla,2005-05-02,
CVE-2005-1156,,,Mozilla,2005-05-02,Exec Code
CVE-2005-1155,CWE-94 - CWE definition,94,Mozilla,2005-05-02,Exec Code
CVE-2005-1154,,,Mozilla,2005-05-02,XSS
CVE-2005-1153,,,Mozilla,2005-05-02,Exec Code
CVE-2005-0989,,,Mozilla,2005-05-02,
CVE-2005-0593,,,Mozilla,2005-03-04,
CVE-2005-0592,,,Mozilla,2005-03-25,DoS Exec Code Overflow
CVE-2005-0590,,,Mozilla,2005-05-02,
CVE-2005-0588,,,Mozilla,2005-05-02,
CVE-2005-0587,,,Mozilla,2005-03-25,
CVE-2005-0586,,,Mozilla,2005-05-02,
CVE-2005-0585,,,Mozilla,2005-03-25,
CVE-2005-0584,,,Mozilla,2005-05-02,
CVE-2005-0578,,,Mozilla,2005-05-02,
CVE-2005-0401,,,Mozilla,2005-05-02,Exec Code
CVE-2005-0399,,,Mozilla,2005-05-02,Exec Code Overflow
CVE-2005-0255,,,Mozilla,2005-05-02,DoS Exec Code Mem. Corr.
CVE-2005-0238,,,Mozilla,2005-05-02,
CVE-2005-0233,,,Mozilla,2005-02-08,
CVE-2005-0215,,,Mozilla,2005-05-02,DoS
CVE-2005-0149,,,Mozilla,2005-02-15,Bypass
CVE-2005-0147,,,Mozilla,2005-05-02,
CVE-2009-3014,CWE-79 - CWE definition,79,Mozilla,2009-08-31,XSS
CVE-2009-3010,CWE-79 - CWE definition,79,Mozilla,2009-08-31,XSS
CVE-2007-4039,CWE-79 - CWE definition,79,Mozilla,2007-07-27,Exec Code XSS
CVE-2007-3144,,,Mozilla,2007-06-11,
CVE-2007-1794,,,Mozilla,2007-04-02,Exec Code
CVE-2006-6498,,,Mozilla,2006-12-19,DoS Exec Code Mem. Corr.
CVE-2006-0496,,,Mozilla,2006-01-31,XSS
CVE-2006-0292,,,Mozilla,2006-02-02,DoS Exec Code
CVE-2005-4874,CWE-94 - CWE definition,94,Mozilla,2005-12-31,
CVE-2005-4809,,,Mozilla,2005-12-31,
CVE-2005-4685,,,Mozilla,2005-12-31,
CVE-2005-3896,,,Mozilla,2005-11-29,DoS
CVE-2005-2968,,,Mozilla,2005-09-20,Exec Code
CVE-2005-2270,,,Mozilla,2005-07-13,Exec Code
CVE-2005-2269,,,Mozilla,2005-07-13,Exec Code
CVE-2005-2268,,,Mozilla,2005-07-13,
CVE-2005-2266,,,Mozilla,2005-07-13,
CVE-2005-2265,,,Mozilla,2005-07-13,DoS Exec Code
CVE-2005-2263,,,Mozilla,2005-07-13,
CVE-2005-2261,,,Mozilla,2005-07-13,Bypass
CVE-2005-2260,,,Mozilla,2005-07-13,
CVE-2005-2114,,,Mozilla,2005-07-05,DoS
CVE-2005-1937,,,Mozilla,2005-06-14,
CVE-2005-1532,CWE-264 - CWE definition,264,Mozilla,2005-05-12,
CVE-2005-1531,,,Mozilla,2005-05-12,
CVE-2005-1160,,,Mozilla,2005-05-02,+Priv
CVE-2005-1159,,,Mozilla,2005-05-02,DoS Exec Code Bypass
CVE-2005-1157,,,Mozilla,2005-05-02,
CVE-2005-1156,,,Mozilla,2005-05-02,Exec Code
