CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2018-5185,CWE-311 - CWE definition,311,Thunderbird Esr,2018-06-11,
CVE-2018-5184,CWE-326 - CWE definition,326,Thunderbird Esr,2018-06-11,
CVE-2018-5183,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2018-5178,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow
CVE-2018-5174,,,Thunderbird Esr,2018-06-11,
CVE-2018-5170,CWE-20 - CWE definition,20,Thunderbird Esr,2018-06-11,
CVE-2018-5168,CWE-275 - CWE definition,275,Thunderbird Esr,2018-06-11,Bypass
CVE-2018-5162,CWE-311 - CWE definition,311,Thunderbird Esr,2018-06-11,
CVE-2018-5161,CWE-20 - CWE definition,20,Thunderbird Esr,2018-06-11,
CVE-2018-5159,CWE-787 - CWE definition,787,Thunderbird Esr,2018-06-11,Overflow
CVE-2018-5155,CWE-416 - CWE definition,416,Thunderbird Esr,2018-06-11,
CVE-2018-5154,CWE-416 - CWE definition,416,Thunderbird Esr,2018-06-11,
CVE-2018-5150,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2017-5398,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2014-2018,CWE-79 - CWE definition,79,Thunderbird Esr,2014-02-17,XSS
CVE-2013-6674,CWE-79 - CWE definition,79,Thunderbird Esr,2014-02-17,XSS
CVE-2013-5604,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow
CVE-2013-5603,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5602,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow Mem. Corr.
CVE-2013-5601,,,Thunderbird Esr,2013-10-30,Exec Code
CVE-2013-5600,,,Thunderbird Esr,2013-10-30,Exec Code
CVE-2013-5599,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5597,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5596,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow
CVE-2013-5595,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,Overflow
CVE-2013-5593,CWE-20 - CWE definition,20,Thunderbird Esr,2013-10-30,
CVE-2013-5591,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5590,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-1737,CWE-264 - CWE definition,264,Thunderbird Esr,2013-09-18,Bypass
CVE-2013-1736,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow Mem. Corr.
CVE-2013-1735,CWE-20 - CWE definition,20,Thunderbird Esr,2013-09-18,Exec Code
CVE-2013-1732,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,Exec Code Overflow
CVE-2013-1730,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow
CVE-2013-1726,CWE-264 - CWE definition,264,Thunderbird Esr,2013-09-18,+Priv
CVE-2013-1725,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,Exec Code Overflow
CVE-2013-1722,CWE-399 - CWE definition,399,Thunderbird Esr,2013-09-18,DoS Exec Code Mem. Corr.
CVE-2013-1718,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow Mem. Corr.
CVE-2013-1717,CWE-264 - CWE definition,264,Thunderbird Esr,2013-08-06,
CVE-2013-1714,CWE-264 - CWE definition,264,Thunderbird Esr,2013-08-06,XSS Bypass
CVE-2013-1713,CWE-264 - CWE definition,264,Thunderbird Esr,2013-08-06,XSS
CVE-2013-1712,,,Thunderbird Esr,2013-08-06,+Priv
CVE-2013-1710,CWE-20 - CWE definition,20,Thunderbird Esr,2013-08-06,Exec Code XSS
CVE-2013-1709,CWE-79 - CWE definition,79,Thunderbird Esr,2013-08-06,XSS
CVE-2013-1707,CWE-119 - CWE definition,119,Thunderbird Esr,2013-08-06,Overflow +Priv
CVE-2013-1706,CWE-119 - CWE definition,119,Thunderbird Esr,2013-08-06,Overflow +Priv
CVE-2013-1701,,,Thunderbird Esr,2013-08-06,DoS Exec Code Mem. Corr.
CVE-2013-1697,CWE-264 - CWE definition,264,Thunderbird Esr,2013-06-25,Exec Code
CVE-2013-1694,CWE-20 - CWE definition,20,Thunderbird Esr,2013-06-25,DoS Exec Code
CVE-2013-1693,CWE-264 - CWE definition,264,Thunderbird Esr,2013-06-25,Exec Code Bypass
CVE-2013-1692,CWE-264 - CWE definition,264,Thunderbird Esr,2013-06-25,CSRF
CVE-2018-5185,CWE-311 - CWE definition,311,Thunderbird Esr,2018-06-11,
CVE-2018-5184,CWE-326 - CWE definition,326,Thunderbird Esr,2018-06-11,
CVE-2018-5183,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2018-5178,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow
CVE-2018-5174,,,Thunderbird Esr,2018-06-11,
CVE-2018-5170,CWE-20 - CWE definition,20,Thunderbird Esr,2018-06-11,
CVE-2018-5168,CWE-275 - CWE definition,275,Thunderbird Esr,2018-06-11,Bypass
CVE-2018-5162,CWE-311 - CWE definition,311,Thunderbird Esr,2018-06-11,
CVE-2018-5161,CWE-20 - CWE definition,20,Thunderbird Esr,2018-06-11,
CVE-2018-5159,CWE-787 - CWE definition,787,Thunderbird Esr,2018-06-11,Overflow
CVE-2018-5155,CWE-416 - CWE definition,416,Thunderbird Esr,2018-06-11,
CVE-2018-5154,CWE-416 - CWE definition,416,Thunderbird Esr,2018-06-11,
CVE-2018-5150,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2017-5398,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2014-2018,CWE-79 - CWE definition,79,Thunderbird Esr,2014-02-17,XSS
CVE-2013-6674,CWE-79 - CWE definition,79,Thunderbird Esr,2014-02-17,XSS
CVE-2013-5604,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow
CVE-2013-5603,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5602,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow Mem. Corr.
CVE-2013-5601,,,Thunderbird Esr,2013-10-30,Exec Code
CVE-2013-5600,,,Thunderbird Esr,2013-10-30,Exec Code
CVE-2013-5599,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5597,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5596,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow
CVE-2013-5595,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,Overflow
CVE-2013-5593,CWE-20 - CWE definition,20,Thunderbird Esr,2013-10-30,
CVE-2013-5591,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5590,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-1737,CWE-264 - CWE definition,264,Thunderbird Esr,2013-09-18,Bypass
CVE-2013-1736,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow Mem. Corr.
CVE-2013-1735,CWE-20 - CWE definition,20,Thunderbird Esr,2013-09-18,Exec Code
CVE-2013-1732,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,Exec Code Overflow
CVE-2013-1730,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow
CVE-2013-1726,CWE-264 - CWE definition,264,Thunderbird Esr,2013-09-18,+Priv
CVE-2013-1725,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,Exec Code Overflow
CVE-2013-1722,CWE-399 - CWE definition,399,Thunderbird Esr,2013-09-18,DoS Exec Code Mem. Corr.
CVE-2013-1718,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow Mem. Corr.
CVE-2013-1717,CWE-264 - CWE definition,264,Thunderbird Esr,2013-08-06,
CVE-2013-1714,CWE-264 - CWE definition,264,Thunderbird Esr,2013-08-06,XSS Bypass
CVE-2013-1713,CWE-264 - CWE definition,264,Thunderbird Esr,2013-08-06,XSS
CVE-2013-1712,,,Thunderbird Esr,2013-08-06,+Priv
CVE-2013-1710,CWE-20 - CWE definition,20,Thunderbird Esr,2013-08-06,Exec Code XSS
CVE-2013-1709,CWE-79 - CWE definition,79,Thunderbird Esr,2013-08-06,XSS
CVE-2013-1707,CWE-119 - CWE definition,119,Thunderbird Esr,2013-08-06,Overflow +Priv
CVE-2013-1706,CWE-119 - CWE definition,119,Thunderbird Esr,2013-08-06,Overflow +Priv
CVE-2013-1701,,,Thunderbird Esr,2013-08-06,DoS Exec Code Mem. Corr.
CVE-2013-1697,CWE-264 - CWE definition,264,Thunderbird Esr,2013-06-25,Exec Code
CVE-2013-1694,CWE-20 - CWE definition,20,Thunderbird Esr,2013-06-25,DoS Exec Code
CVE-2013-1693,CWE-264 - CWE definition,264,Thunderbird Esr,2013-06-25,Exec Code Bypass
CVE-2013-1692,CWE-264 - CWE definition,264,Thunderbird Esr,2013-06-25,CSRF
CVE-2018-5185,CWE-311 - CWE definition,311,Thunderbird Esr,2018-06-11,
CVE-2018-5184,CWE-326 - CWE definition,326,Thunderbird Esr,2018-06-11,
CVE-2018-5183,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2018-5178,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow
CVE-2018-5174,,,Thunderbird Esr,2018-06-11,
CVE-2018-5170,CWE-20 - CWE definition,20,Thunderbird Esr,2018-06-11,
CVE-2018-5168,CWE-275 - CWE definition,275,Thunderbird Esr,2018-06-11,Bypass
CVE-2018-5162,CWE-311 - CWE definition,311,Thunderbird Esr,2018-06-11,
CVE-2018-5161,CWE-20 - CWE definition,20,Thunderbird Esr,2018-06-11,
CVE-2018-5159,CWE-787 - CWE definition,787,Thunderbird Esr,2018-06-11,Overflow
CVE-2018-5155,CWE-416 - CWE definition,416,Thunderbird Esr,2018-06-11,
CVE-2018-5154,CWE-416 - CWE definition,416,Thunderbird Esr,2018-06-11,
CVE-2018-5150,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2017-5398,CWE-119 - CWE definition,119,Thunderbird Esr,2018-06-11,Overflow Mem. Corr.
CVE-2014-2018,CWE-79 - CWE definition,79,Thunderbird Esr,2014-02-17,XSS
CVE-2013-6674,CWE-79 - CWE definition,79,Thunderbird Esr,2014-02-17,XSS
CVE-2013-5604,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow
CVE-2013-5603,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5602,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow Mem. Corr.
CVE-2013-5601,,,Thunderbird Esr,2013-10-30,Exec Code
CVE-2013-5600,,,Thunderbird Esr,2013-10-30,Exec Code
CVE-2013-5599,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5597,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5596,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,DoS Exec Code Overflow
CVE-2013-5595,CWE-119 - CWE definition,119,Thunderbird Esr,2013-10-30,Overflow
CVE-2013-5593,CWE-20 - CWE definition,20,Thunderbird Esr,2013-10-30,
CVE-2013-5591,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-5590,,,Thunderbird Esr,2013-10-30,DoS Exec Code Mem. Corr.
CVE-2013-1737,CWE-264 - CWE definition,264,Thunderbird Esr,2013-09-18,Bypass
CVE-2013-1736,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow Mem. Corr.
CVE-2013-1735,CWE-20 - CWE definition,20,Thunderbird Esr,2013-09-18,Exec Code
CVE-2013-1732,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,Exec Code Overflow
CVE-2013-1730,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,DoS Exec Code Overflow
CVE-2013-1726,CWE-264 - CWE definition,264,Thunderbird Esr,2013-09-18,+Priv
CVE-2013-1725,CWE-119 - CWE definition,119,Thunderbird Esr,2013-09-18,Exec Code Overflow
