CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-11755,CWE-20 - CWE definition,20,Thunderbird,2019-09-27,
CVE-2019-11752,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11746,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11744,CWE-79 - CWE definition,79,Thunderbird,2019-09-27,XSS
CVE-2019-11743,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11742,CWE-829 - CWE definition,829,Thunderbird,2019-09-27,
CVE-2019-11740,CWE-119 - CWE definition,119,Thunderbird,2019-09-27,Overflow Mem. Corr.
CVE-2019-11739,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11730,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11729,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11719,CWE-125 - CWE definition,125,Thunderbird,2019-07-23,
CVE-2019-11717,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11715,CWE-79 - CWE definition,79,Thunderbird,2019-07-23,XSS
CVE-2019-11713,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11712,CWE-352 - CWE definition,352,Thunderbird,2019-07-23,Bypass CSRF
CVE-2019-11711,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11709,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow Mem. Corr.
CVE-2019-11708,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11707,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11706,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11705,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11704,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11703,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11698,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11694,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11693,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11692,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11691,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-9820,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-9819,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-9817,CWE-346 - CWE definition,346,Thunderbird,2019-07-23,
CVE-2019-9816,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,Bypass
CVE-2019-9815,CWE-362 - CWE definition,362,Thunderbird,2019-07-23,
CVE-2019-9813,CWE-704 - CWE definition,704,Thunderbird,2019-04-26,
CVE-2019-9811,CWE-264 - CWE definition,264,Thunderbird,2019-07-23,
CVE-2019-9810,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow
CVE-2019-9801,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2019-9800,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow Mem. Corr.
CVE-2019-9796,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2019-9795,CWE-704 - CWE definition,704,Thunderbird,2019-04-26,
CVE-2019-9794,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,Exec Code
CVE-2019-9793,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow
CVE-2019-9792,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow Mem. Corr.
CVE-2019-9791,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2019-9790,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2019-9788,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow Mem. Corr.
CVE-2018-18513,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2018-18512,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2018-18509,CWE-347 - CWE definition,347,Thunderbird,2019-04-26,
CVE-2018-18505,CWE-287 - CWE definition,287,Thunderbird,2019-02-05,
CVE-2019-11755,CWE-20 - CWE definition,20,Thunderbird,2019-09-27,
CVE-2019-11752,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11746,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11744,CWE-79 - CWE definition,79,Thunderbird,2019-09-27,XSS
CVE-2019-11743,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11742,CWE-829 - CWE definition,829,Thunderbird,2019-09-27,
CVE-2019-11740,CWE-119 - CWE definition,119,Thunderbird,2019-09-27,Overflow Mem. Corr.
CVE-2019-11739,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11730,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11729,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11719,CWE-125 - CWE definition,125,Thunderbird,2019-07-23,
CVE-2019-11717,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11715,CWE-79 - CWE definition,79,Thunderbird,2019-07-23,XSS
CVE-2019-11713,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11712,CWE-352 - CWE definition,352,Thunderbird,2019-07-23,Bypass CSRF
CVE-2019-11711,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11709,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow Mem. Corr.
CVE-2019-11708,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11707,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11706,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11705,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11704,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11703,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11698,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11694,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11693,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11692,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11691,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-9820,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-9819,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-9817,CWE-346 - CWE definition,346,Thunderbird,2019-07-23,
CVE-2019-9816,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,Bypass
CVE-2019-9815,CWE-362 - CWE definition,362,Thunderbird,2019-07-23,
CVE-2019-9813,CWE-704 - CWE definition,704,Thunderbird,2019-04-26,
CVE-2019-9811,CWE-264 - CWE definition,264,Thunderbird,2019-07-23,
CVE-2019-9810,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow
CVE-2019-9801,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2019-9800,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow Mem. Corr.
CVE-2019-9796,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2019-9795,CWE-704 - CWE definition,704,Thunderbird,2019-04-26,
CVE-2019-9794,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,Exec Code
CVE-2019-9793,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow
CVE-2019-9792,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow Mem. Corr.
CVE-2019-9791,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2019-9790,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2019-9788,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow Mem. Corr.
CVE-2018-18513,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2018-18512,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2018-18509,CWE-347 - CWE definition,347,Thunderbird,2019-04-26,
CVE-2018-18505,CWE-287 - CWE definition,287,Thunderbird,2019-02-05,
CVE-2019-11755,CWE-20 - CWE definition,20,Thunderbird,2019-09-27,
CVE-2019-11752,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11746,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11744,CWE-79 - CWE definition,79,Thunderbird,2019-09-27,XSS
CVE-2019-11743,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11742,CWE-829 - CWE definition,829,Thunderbird,2019-09-27,
CVE-2019-11740,CWE-119 - CWE definition,119,Thunderbird,2019-09-27,Overflow Mem. Corr.
CVE-2019-11739,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11730,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11729,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11719,CWE-125 - CWE definition,125,Thunderbird,2019-07-23,
CVE-2019-11717,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11715,CWE-79 - CWE definition,79,Thunderbird,2019-07-23,XSS
CVE-2019-11713,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11712,CWE-352 - CWE definition,352,Thunderbird,2019-07-23,Bypass CSRF
CVE-2019-11711,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11709,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow Mem. Corr.
CVE-2019-11708,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11707,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11706,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11705,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11704,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11703,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11698,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11694,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11693,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11692,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11691,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-9820,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-9819,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-9817,CWE-346 - CWE definition,346,Thunderbird,2019-07-23,
CVE-2019-9816,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,Bypass
CVE-2019-9815,CWE-362 - CWE definition,362,Thunderbird,2019-07-23,
CVE-2019-9813,CWE-704 - CWE definition,704,Thunderbird,2019-04-26,
CVE-2019-9811,CWE-264 - CWE definition,264,Thunderbird,2019-07-23,
CVE-2019-9810,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow
CVE-2019-9801,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2019-9800,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow Mem. Corr.
CVE-2019-9796,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2019-9795,CWE-704 - CWE definition,704,Thunderbird,2019-04-26,
CVE-2019-9794,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,Exec Code
CVE-2019-9793,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow
CVE-2019-9792,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow Mem. Corr.
CVE-2019-9791,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2019-9790,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2019-9788,CWE-119 - CWE definition,119,Thunderbird,2019-04-26,Overflow Mem. Corr.
CVE-2018-18513,CWE-20 - CWE definition,20,Thunderbird,2019-04-26,
CVE-2018-18512,CWE-416 - CWE definition,416,Thunderbird,2019-04-26,
CVE-2018-18509,CWE-347 - CWE definition,347,Thunderbird,2019-04-26,
CVE-2018-18505,CWE-287 - CWE definition,287,Thunderbird,2019-02-05,
CVE-2019-11755,CWE-20 - CWE definition,20,Thunderbird,2019-09-27,
CVE-2019-11752,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11746,CWE-416 - CWE definition,416,Thunderbird,2019-09-27,
CVE-2019-11744,CWE-79 - CWE definition,79,Thunderbird,2019-09-27,XSS
CVE-2019-11743,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11742,CWE-829 - CWE definition,829,Thunderbird,2019-09-27,
CVE-2019-11740,CWE-119 - CWE definition,119,Thunderbird,2019-09-27,Overflow Mem. Corr.
CVE-2019-11739,CWE-200 - CWE definition,200,Thunderbird,2019-09-27,+Info
CVE-2019-11730,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11729,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11719,CWE-125 - CWE definition,125,Thunderbird,2019-07-23,
CVE-2019-11717,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11715,CWE-79 - CWE definition,79,Thunderbird,2019-07-23,XSS
CVE-2019-11713,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11712,CWE-352 - CWE definition,352,Thunderbird,2019-07-23,Bypass CSRF
CVE-2019-11711,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11709,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow Mem. Corr.
CVE-2019-11708,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11707,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11706,CWE-704 - CWE definition,704,Thunderbird,2019-07-23,
CVE-2019-11705,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11704,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11703,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11698,CWE-20 - CWE definition,20,Thunderbird,2019-07-23,
CVE-2019-11694,CWE-200 - CWE definition,200,Thunderbird,2019-07-23,+Info
CVE-2019-11693,CWE-119 - CWE definition,119,Thunderbird,2019-07-23,Overflow
CVE-2019-11692,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-11691,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
CVE-2019-9820,CWE-416 - CWE definition,416,Thunderbird,2019-07-23,
