Product,URL,Num_Vulnerabilities
Access Manager,/vulnerability-list/vendor_id-20/product_id-10528/Novell-Access-Manager.html,5,10528,20,Application
Access Manager Identity Server,/vulnerability-list/vendor_id-20/product_id-9903/Novell-Access-Manager-Identity-Server.html,1,9903,20,Application
Apache Http Server,/vulnerability-list/vendor_id-20/product_id-9582/Novell-Apache-Http-Server.html,1,9582,20,Application
Apparmor,/vulnerability-list/vendor_id-20/product_id-13256/Novell-Apparmor.html,0,13256,20,Application
Bordermanager,/vulnerability-list/vendor_id-20/product_id-721/Novell-Bordermanager.html,13,721,20,Application
Challenge Response Client,/vulnerability-list/vendor_id-20/product_id-13219/Novell-Challenge-Response-Client.html,1,13219,20,Application
Client,/vulnerability-list/vendor_id-20/product_id-957/Novell-Client.html,11,957,20,Application
Client Firewall,/vulnerability-list/vendor_id-20/product_id-4448/Novell-Client-Firewall.html,2,4448,20,Application
Client Login Extension (cle),/vulnerability-list/vendor_id-20/product_id-11974/Novell-Client-Login-Extension-cle-.html,0,11974,20,Application
Client Login Extension \(cle\),/vulnerability-list/vendor_id-20/product_id-62005/Novell-Client-Login-Extension-cle-.html,1,62005,20,Application
Cloud Manager,/vulnerability-list/vendor_id-20/product_id-21122/Novell-Cloud-Manager.html,1,21122,20,Application
Data Synchronizer,/vulnerability-list/vendor_id-20/product_id-20910/Novell-Data-Synchronizer.html,7,20910,20,Application
Edirectory,/vulnerability-list/vendor_id-20/product_id-2560/Novell-Edirectory.html,46,2560,20,Application
Emframe,/vulnerability-list/vendor_id-20/product_id-2218/Novell-Emframe.html,2,2218,20,Application
Extend Director,/vulnerability-list/vendor_id-20/product_id-11431/Novell-Extend-Director.html,1,11431,20,Application
File Reporter,/vulnerability-list/vendor_id-20/product_id-20653/Novell-File-Reporter.html,6,20653,20,Application
File Reporter Engine,/vulnerability-list/vendor_id-20/product_id-20957/Novell-File-Reporter-Engine.html,0,20957,20,Application
Filr,/vulnerability-list/vendor_id-20/product_id-33509/Novell-Filr.html,6,33509,20,Application
Groupwise,/vulnerability-list/vendor_id-20/product_id-589/Novell-Groupwise.html,71,589,20,Application
Groupwise Messenger,/vulnerability-list/vendor_id-20/product_id-7527/Novell-Groupwise-Messenger.html,6,7527,20,Application
Groupwise Webaccess,/vulnerability-list/vendor_id-20/product_id-1482/Novell-Groupwise-Webaccess.html,7,1482,20,Application
Http Server,/vulnerability-list/vendor_id-20/product_id-432/Novell-Http-Server.html,1,432,20,Application
Ichain,/vulnerability-list/vendor_id-20/product_id-3053/Novell-Ichain.html,15,3053,20,Application
Identity Manager,/vulnerability-list/vendor_id-20/product_id-8625/Novell-Identity-Manager.html,4,8625,20,Application
Identity Manager Identity Applications,/vulnerability-list/vendor_id-20/product_id-34920/Novell-Identity-Manager-Identity-Applications.html,1,34920,20,Application
Identity Manager Roles Based Provisioning Module,/vulnerability-list/vendor_id-20/product_id-15475/Novell-Identity-Manager-Roles-Based-Provisioning-Module.html,6,15475,20,Application
Identity Manager User Application,/vulnerability-list/vendor_id-20/product_id-21364/Novell-Identity-Manager-User-Application.html,2,21364,20,Application
Imanager,/vulnerability-list/vendor_id-20/product_id-3965/Novell-Imanager.html,13,3965,20,Application
