CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-9277,,,Edirectory,2018-03-02,
CVE-2017-9267,,,Edirectory,2018-03-02,
CVE-2017-5186,CWE-327 - CWE definition,327,Edirectory,2017-04-27,
CVE-2016-9168,CWE-20 - CWE definition,20,Edirectory,2017-03-23,
CVE-2016-9167,CWE-264 - CWE definition,264,Edirectory,2017-03-23,
CVE-2016-5747,CWE-284 - CWE definition,284,Edirectory,2017-03-23,Bypass
CVE-2014-5213,CWE-200 - CWE definition,200,Edirectory,2014-12-19,+Info
CVE-2014-5212,CWE-79 - CWE definition,79,Edirectory,2014-12-19,XSS
CVE-2010-4327,,,Edirectory,2011-02-10,DoS
CVE-2010-0666,,,Edirectory,2010-02-19,DoS
CVE-2009-4655,CWE-310 - CWE definition,310,Edirectory,2010-02-26,
CVE-2009-4654,CWE-119 - CWE definition,119,Edirectory,2010-02-26,Exec Code Overflow
CVE-2009-4653,CWE-119 - CWE definition,119,Edirectory,2010-02-26,DoS Exec Code Overflow
CVE-2009-3862,CWE-287 - CWE definition,287,Edirectory,2009-11-04,DoS
CVE-2009-2457,CWE-94 - CWE definition,94,Edirectory,2009-07-14,DoS
CVE-2009-2456,,,Edirectory,2009-07-14,DoS
CVE-2009-0895,CWE-189 - CWE definition,189,Edirectory,2009-12-03,Exec Code Overflow
CVE-2009-0192,CWE-189 - CWE definition,189,Edirectory,2009-07-14,Exec Code Overflow
CVE-2008-5094,CWE-119 - CWE definition,119,Edirectory,2008-11-14,Overflow
CVE-2008-5093,CWE-79 - CWE definition,79,Edirectory,2008-11-14,XSS
CVE-2008-5092,CWE-119 - CWE definition,119,Edirectory,2008-11-14,Overflow
CVE-2008-5091,CWE-119 - CWE definition,119,Edirectory,2008-11-14,DoS Overflow
CVE-2008-5038,CWE-399 - CWE definition,399,Edirectory,2008-11-12,DoS Exec Code Mem. Corr.
CVE-2008-4480,CWE-119 - CWE definition,119,Edirectory,2008-10-14,Exec Code Overflow
