CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2005-0798,,,Ichain,2005-03-15,
CVE-2005-0797,CWE-200 - CWE definition,200,Ichain,2005-03-15,+Info
CVE-2005-0746,,,Ichain,2005-05-02,
CVE-2005-0744,,,Ichain,2005-05-02,+Priv +Info
CVE-2004-2757,CWE-79 - CWE definition,79,Ichain,2004-12-31,XSS
CVE-2004-2582,,,Ichain,2004-12-31,+Info
CVE-2004-2581,,,Ichain,2004-12-31,DoS
CVE-2004-2580,,,Ichain,2004-12-31,XSS
CVE-2004-2579,,,Ichain,2004-12-31,Bypass
CVE-2004-2314,,,Ichain,2004-12-31,
CVE-2003-0639,,,Ichain,2003-08-27,
CVE-2003-0638,,,Ichain,2003-08-27,DoS Exec Code Overflow
CVE-2003-0637,,,Ichain,2003-08-27,
CVE-2003-0636,,,Ichain,2003-08-27,
CVE-2003-0635,,,Ichain,2003-08-27,
