CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-7432,,,Imanager,2017-05-03,
CVE-2017-7431,CWE-352 - CWE definition,352,Imanager,2017-05-03,CSRF
CVE-2017-7430,CWE-79 - CWE definition,79,Imanager,2017-05-03,XSS
CVE-2017-5186,CWE-327 - CWE definition,327,Imanager,2017-04-27,
CVE-2013-3268,CWE-287 - CWE definition,287,Imanager,2013-04-24,
CVE-2013-1088,CWE-352 - CWE definition,352,Imanager,2013-04-24,CSRF
CVE-2011-4188,CWE-119 - CWE definition,119,Imanager,2012-04-09,DoS Overflow
CVE-2010-1930,CWE-189 - CWE definition,189,Imanager,2010-06-28,DoS
CVE-2010-1929,CWE-119 - CWE definition,119,Imanager,2010-06-28,Exec Code Overflow
CVE-2009-4486,CWE-119 - CWE definition,119,Imanager,2010-01-08,Exec Code Overflow
CVE-2008-3488,CWE-264 - CWE definition,264,Imanager,2008-08-06,
CVE-2006-4517,CWE-189 - CWE definition,189,Imanager,2006-11-01,DoS
CVE-2005-1730,,,Imanager,2005-12-31,DoS
CVE-2004-0112,,,Imanager,2004-11-23,DoS
CVE-2004-0081,,,Imanager,2004-11-23,DoS
CVE-2004-0079,,,Imanager,2004-11-23,DoS
