CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2013-3708,,,Iprint,2013-11-30,DoS
CVE-2013-1091,CWE-119 - CWE definition,119,Iprint,2013-05-02,Exec Code Overflow
CVE-2012-0411,,,Iprint,2012-12-24,Exec Code
CVE-2011-4187,CWE-119 - CWE definition,119,Iprint,2012-02-21,Exec Code Overflow
CVE-2011-4186,CWE-119 - CWE definition,119,Iprint,2012-02-21,Exec Code Overflow
CVE-2011-4185,CWE-119 - CWE definition,119,Iprint,2012-02-21,DoS Exec Code Overflow Mem. Corr.
CVE-2011-1708,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1707,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1706,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1705,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1704,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1703,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1702,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1701,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1700,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2011-1699,CWE-119 - CWE definition,119,Iprint,2011-06-09,Exec Code Overflow
CVE-2010-4314,CWE-119 - CWE definition,119,Iprint,2017-03-11,Exec Code Overflow
CVE-2010-3109,CWE-119 - CWE definition,119,Iprint,2010-08-23,Exec Code Overflow
CVE-2010-3108,CWE-119 - CWE definition,119,Iprint,2010-08-23,Exec Code Overflow
CVE-2010-3107,CWE-264 - CWE definition,264,Iprint,2010-08-23,DoS
CVE-2010-3106,CWE-20 - CWE definition,20,Iprint,2010-08-23,DoS Exec Code Mem. Corr.
CVE-2010-3105,CWE-119 - CWE definition,119,Iprint,2010-08-23,Exec Code Overflow
CVE-2010-1527,CWE-119 - CWE definition,119,Iprint,2010-08-23,Exec Code Overflow
CVE-2009-3176,CWE-119 - CWE definition,119,Iprint,2009-09-11,DoS Exec Code Overflow
CVE-2009-1569,CWE-119 - CWE definition,119,Iprint,2009-12-08,Exec Code Overflow
CVE-2008-5231,CWE-119 - CWE definition,119,Iprint,2008-11-25,Exec Code Overflow
CVE-2008-2432,CWE-200 - CWE definition,200,Iprint,2008-11-25,+Info
CVE-2008-2431,CWE-119 - CWE definition,119,Iprint,2008-11-25,Exec Code Overflow
CVE-2008-1701,,,Iprint,2008-04-08,DoS
CVE-2008-0935,CWE-119 - CWE definition,119,Iprint,2008-02-25,Exec Code Overflow
