CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2007-6302,CWE-119 - CWE definition,119,Netmail,2007-12-10,Exec Code Overflow
CVE-2007-2616,,,Netmail,2007-05-11,Exec Code Overflow
CVE-2007-1350,,,Netmail,2007-03-08,Exec Code Overflow
CVE-2006-6762,,,Netmail,2006-12-26,DoS
CVE-2006-6761,,,Netmail,2006-12-26,Exec Code Overflow
CVE-2006-6425,,,Netmail,2006-12-26,Exec Code Overflow
CVE-2006-6424,,,Netmail,2006-12-26,Exec Code Overflow
CVE-2005-3314,CWE-119 - CWE definition,119,Netmail,2005-11-18,Exec Code Overflow
CVE-2005-2469,,,Netmail,2005-10-20,Exec Code Overflow
CVE-2005-2176,,,Netmail,2005-07-09,
CVE-2005-1976,,,Netmail,2005-12-31,DoS Exec Code
CVE-2005-1758,,,Netmail,2005-06-08,Exec Code Overflow
CVE-2005-1757,,,Netmail,2005-06-08,Exec Code Overflow
CVE-2005-1756,,,Netmail,2005-06-08,XSS
CVE-2004-2298,,,Netmail,2004-12-31,
CVE-2002-0997,,,Netmail,2002-10-04,DoS Overflow
CVE-2002-0996,,,Netmail,2002-10-04,DoS Exec Code Overflow
