CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2010-0625,CWE-119 - CWE definition,119,Netware Ftp Server,2010-04-05,DoS Exec Code Overflow
CVE-2007-6735,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,Bypass
CVE-2007-6734,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,
CVE-2006-1322,,,Netware Ftp Server,2006-03-20,DoS Overflow
CVE-2005-4888,,,Netware Ftp Server,2010-04-05,DoS
CVE-2005-4887,,,Netware Ftp Server,2010-04-05,
CVE-2004-2767,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,DoS
CVE-2003-1596,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,Bypass
CVE-2003-1595,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,
CVE-2003-1594,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,Bypass
CVE-2003-1593,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,Bypass
CVE-2003-1592,CWE-119 - CWE definition,119,Netware Ftp Server,2010-04-05,DoS Overflow
CVE-2002-2434,,,Netware Ftp Server,2010-04-05,DoS
CVE-2002-2433,CWE-20 - CWE definition,20,Netware Ftp Server,2010-04-05,DoS
CVE-2002-2432,,,Netware Ftp Server,2010-04-05,DoS
CVE-2000-1246,CWE-119 - CWE definition,119,Netware Ftp Server,2010-04-05,DoS Overflow
CVE-2000-1245,CWE-264 - CWE definition,264,Netware Ftp Server,2010-04-05,Bypass
