CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2016-5829,CWE-119 - CWE definition,119,Suse Linux Enterprise Real Time Extension,2016-06-27,DoS Overflow
CVE-2016-5828,CWE-20 - CWE definition,20,Suse Linux Enterprise Real Time Extension,2016-06-27,DoS
CVE-2016-4997,CWE-264 - CWE definition,264,Suse Linux Enterprise Real Time Extension,2016-07-03,DoS +Priv Mem. Corr.
CVE-2016-4805,CWE-416 - CWE definition,416,Suse Linux Enterprise Real Time Extension,2016-05-23,DoS Mem. Corr.
CVE-2016-4578,CWE-200 - CWE definition,200,Suse Linux Enterprise Real Time Extension,2016-05-23,+Info
CVE-2016-4569,CWE-200 - CWE definition,200,Suse Linux Enterprise Real Time Extension,2016-05-23,+Info
CVE-2016-4486,CWE-200 - CWE definition,200,Suse Linux Enterprise Real Time Extension,2016-05-23,+Info
CVE-2016-4482,CWE-200 - CWE definition,200,Suse Linux Enterprise Real Time Extension,2016-05-23,+Info
CVE-2016-4470,,,Suse Linux Enterprise Real Time Extension,2016-06-27,DoS
CVE-2016-3951,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-3707,CWE-284 - CWE definition,284,Suse Linux Enterprise Real Time Extension,2016-06-27,Exec Code
CVE-2016-3689,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-3672,CWE-254 - CWE definition,254,Suse Linux Enterprise Real Time Extension,2016-04-27,Bypass
CVE-2016-3156,CWE-399 - CWE definition,399,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2016-3140,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-3139,,,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2016-3138,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-3137,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-3136,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-3134,CWE-119 - CWE definition,119,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS Overflow +Priv Mem. Corr.
CVE-2016-2847,CWE-399 - CWE definition,399,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2016-2782,,,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2016-2384,,,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2016-2188,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-2186,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-2185,,,Suse Linux Enterprise Real Time Extension,2016-05-02,DoS
CVE-2016-2184,,,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2015-8816,,,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2015-8812,,,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS Exec Code
CVE-2015-8785,CWE-399 - CWE definition,399,Suse Linux Enterprise Real Time Extension,2016-02-07,DoS
CVE-2015-8552,CWE-20 - CWE definition,20,Suse Linux Enterprise Real Time Extension,2016-04-13,DoS
CVE-2015-8551,,,Suse Linux Enterprise Real Time Extension,2016-04-13,DoS
CVE-2015-8550,CWE-284 - CWE definition,284,Suse Linux Enterprise Real Time Extension,2016-04-14,DoS +Priv
CVE-2015-8539,CWE-264 - CWE definition,264,Suse Linux Enterprise Real Time Extension,2016-02-07,DoS +Priv
CVE-2015-7833,CWE-17 - CWE definition,17,Suse Linux Enterprise Real Time Extension,2015-10-19,DoS
CVE-2015-7566,,,Suse Linux Enterprise Real Time Extension,2016-02-07,DoS
CVE-2015-1339,CWE-399 - CWE definition,399,Suse Linux Enterprise Real Time Extension,2016-04-27,DoS
CVE-2014-9904,,,Suse Linux Enterprise Real Time Extension,2016-06-27,DoS Overflow
