CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-1000366,CWE-119 - CWE definition,119,Suse Linux Enterprise Server,2017-06-19,Exec Code Overflow
CVE-2017-7995,CWE-200 - CWE definition,200,Suse Linux Enterprise Server,2017-05-03,+Info
CVE-2016-9961,CWE-189 - CWE definition,189,Suse Linux Enterprise Server,2017-06-06,
CVE-2016-9960,CWE-369 - CWE definition,369,Suse Linux Enterprise Server,2017-06-06,DoS
CVE-2016-7796,CWE-20 - CWE definition,20,Suse Linux Enterprise Server,2016-10-13,DoS
CVE-2016-5759,CWE-20 - CWE definition,20,Suse Linux Enterprise Server,2017-09-08,
CVE-2016-5118,CWE-284 - CWE definition,284,Suse Linux Enterprise Server,2016-06-10,Exec Code
CVE-2016-4997,CWE-264 - CWE definition,264,Suse Linux Enterprise Server,2016-07-03,DoS +Priv Mem. Corr.
CVE-2016-4957,CWE-20 - CWE definition,20,Suse Linux Enterprise Server,2016-07-04,DoS
CVE-2016-4956,CWE-19 - CWE definition,19,Suse Linux Enterprise Server,2016-07-04,DoS
CVE-2016-4955,CWE-362 - CWE definition,362,Suse Linux Enterprise Server,2016-07-04,DoS
CVE-2016-4913,CWE-200 - CWE definition,200,Suse Linux Enterprise Server,2016-05-23,+Info
CVE-2016-4805,CWE-416 - CWE definition,416,Suse Linux Enterprise Server,2016-05-23,DoS Mem. Corr.
CVE-2016-4578,CWE-200 - CWE definition,200,Suse Linux Enterprise Server,2016-05-23,+Info
CVE-2016-4569,CWE-200 - CWE definition,200,Suse Linux Enterprise Server,2016-05-23,+Info
CVE-2016-4486,CWE-200 - CWE definition,200,Suse Linux Enterprise Server,2016-05-23,+Info
CVE-2016-4485,CWE-200 - CWE definition,200,Suse Linux Enterprise Server,2016-05-23,+Info
CVE-2016-4482,CWE-200 - CWE definition,200,Suse Linux Enterprise Server,2016-05-23,+Info
CVE-2016-3951,,,Suse Linux Enterprise Server,2016-05-02,DoS
CVE-2016-3689,,,Suse Linux Enterprise Server,2016-05-02,DoS
CVE-2016-3672,CWE-254 - CWE definition,254,Suse Linux Enterprise Server,2016-04-27,Bypass
CVE-2016-3156,CWE-399 - CWE definition,399,Suse Linux Enterprise Server,2016-04-27,DoS
CVE-2016-3140,,,Suse Linux Enterprise Server,2016-05-02,DoS
CVE-2016-3139,,,Suse Linux Enterprise Server,2016-04-27,DoS
CVE-2016-3138,,,Suse Linux Enterprise Server,2016-05-02,DoS
CVE-2016-3137,,,Suse Linux Enterprise Server,2016-05-02,DoS
CVE-2016-3136,,,Suse Linux Enterprise Server,2016-05-02,DoS
