CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2015-2573,,,Suse Linux,2015-04-16,
CVE-2015-2571,,,Suse Linux,2015-04-16,
CVE-2015-2568,,,Suse Linux,2015-04-16,
CVE-2015-2567,,,Suse Linux,2015-04-16,
CVE-2015-2566,,,Suse Linux,2015-04-16,
CVE-2013-4854,,,Suse Linux,2013-07-29,DoS
CVE-2013-0170,CWE-399 - CWE definition,399,Suse Linux,2013-02-08,DoS Exec Code
CVE-2011-0988,CWE-264 - CWE definition,264,Suse Linux,2011-04-18,+Priv
CVE-2010-3912,CWE-255 - CWE definition,255,Suse Linux,2011-01-12,
CVE-2010-3110,CWE-119 - CWE definition,119,Suse Linux,2010-10-12,Overflow +Priv
CVE-2010-1507,CWE-255 - CWE definition,255,Suse Linux,2010-09-03,
CVE-2009-1297,CWE-59 - CWE definition,59,Suse Linux,2009-10-23,
CVE-2007-4432,,,Suse Linux,2007-08-20,+Priv
CVE-2007-4394,,,Suse Linux,2007-08-17,
CVE-2006-0803,,,Suse Linux,2006-02-23,
CVE-2005-4791,,,Suse Linux,2005-12-31,Exec Code
CVE-2005-4790,,,Suse Linux,2005-12-31,Exec Code
CVE-2005-3321,,,Suse Linux,2005-10-27,
