CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-8932,CWE-682 - CWE definition,682,Suse Package Hub For Suse Linux Enterprise,2017-07-06,
CVE-2016-4303,CWE-119 - CWE definition,119,Suse Package Hub For Suse Linux Enterprise,2016-09-26,DoS Exec Code Overflow
CVE-2016-2818,CWE-119 - CWE definition,119,Suse Package Hub For Suse Linux Enterprise,2016-06-13,DoS Exec Code Overflow Mem. Corr.
CVE-2016-1957,CWE-119 - CWE definition,119,Suse Package Hub For Suse Linux Enterprise,2016-03-13,DoS Overflow
CVE-2016-1956,CWE-399 - CWE definition,399,Suse Package Hub For Suse Linux Enterprise,2016-03-13,DoS Mem. Corr.
CVE-2016-1955,CWE-200 - CWE definition,200,Suse Package Hub For Suse Linux Enterprise,2016-03-13,Bypass +Info
CVE-2016-1954,CWE-264 - CWE definition,264,Suse Package Hub For Suse Linux Enterprise,2016-03-13,DoS +Priv
CVE-2016-1953,CWE-119 - CWE definition,119,Suse Package Hub For Suse Linux Enterprise,2016-03-13,DoS Exec Code Overflow Mem. Corr.
CVE-2016-1952,CWE-119 - CWE definition,119,Suse Package Hub For Suse Linux Enterprise,2016-03-13,DoS Exec Code Overflow Mem. Corr.
CVE-2016-1704,,,Suse Package Hub For Suse Linux Enterprise,2016-07-03,DoS
CVE-2016-1658,CWE-284 - CWE definition,284,Suse Package Hub For Suse Linux Enterprise,2016-04-18,Bypass +Info
CVE-2016-1657,CWE-254 - CWE definition,254,Suse Package Hub For Suse Linux Enterprise,2016-04-18,
CVE-2016-1629,CWE-264 - CWE definition,264,Suse Package Hub For Suse Linux Enterprise,2016-02-21,Bypass
