CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2013-4589,,,Suse Studio Onsite,2013-11-23,DoS
CVE-2011-2652,CWE-79 - CWE definition,79,Suse Studio Onsite,2011-08-23,XSS
CVE-2011-2651,,,Suse Studio Onsite,2011-08-23,Exec Code
CVE-2011-2650,CWE-79 - CWE definition,79,Suse Studio Onsite,2011-08-23,XSS
CVE-2011-2649,CWE-20 - CWE definition,20,Suse Studio Onsite,2011-08-23,Exec Code
CVE-2011-2648,,,Suse Studio Onsite,2011-08-23,Exec Code
CVE-2011-2647,,,Suse Studio Onsite,2011-08-23,Exec Code
CVE-2011-2646,,,Suse Studio Onsite,2011-08-23,Exec Code
CVE-2011-2645,,,Suse Studio Onsite,2011-08-23,Exec Code
CVE-2011-2644,CWE-79 - CWE definition,79,Suse Studio Onsite,2011-08-23,XSS
CVE-2011-2226,CWE-79 - CWE definition,79,Suse Studio Onsite,2011-08-23,XSS
CVE-2011-2225,,,Suse Studio Onsite,2011-08-23,
