CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2015-5970,CWE-94 - CWE definition,94,Zenworks Configuration Management,2016-02-18,
CVE-2015-0786,CWE-119 - CWE definition,119,Zenworks Configuration Management,2017-08-09,Exec Code Overflow
CVE-2015-0785,CWE-200 - CWE definition,200,Zenworks Configuration Management,2017-08-09,+Info
CVE-2015-0784,CWE-200 - CWE definition,200,Zenworks Configuration Management,2017-08-09,+Info
CVE-2015-0783,CWE-200 - CWE definition,200,Zenworks Configuration Management,2017-08-09,+Info
CVE-2015-0782,CWE-89 - CWE definition,89,Zenworks Configuration Management,2017-08-09,Exec Code Sql
CVE-2015-0781,CWE-22 - CWE definition,22,Zenworks Configuration Management,2017-08-09,Dir. Trav.
CVE-2015-0780,CWE-89 - CWE definition,89,Zenworks Configuration Management,2017-08-09,Exec Code Sql
CVE-2015-0779,CWE-22 - CWE definition,22,Zenworks Configuration Management,2015-06-07,Exec Code Dir. Trav.
CVE-2013-6347,CWE-287 - CWE definition,287,Zenworks Configuration Management,2013-11-02,
CVE-2013-6346,CWE-352 - CWE definition,352,Zenworks Configuration Management,2013-11-02,CSRF
CVE-2013-6345,,,Zenworks Configuration Management,2013-11-02,
CVE-2013-6344,CWE-79 - CWE definition,79,Zenworks Configuration Management,2013-11-02,XSS
CVE-2013-3706,CWE-22 - CWE definition,22,Zenworks Configuration Management,2014-03-06,Dir. Trav.
CVE-2013-1097,CWE-79 - CWE definition,79,Zenworks Configuration Management,2013-06-17,XSS
CVE-2013-1095,CWE-79 - CWE definition,79,Zenworks Configuration Management,2013-06-17,XSS
CVE-2013-1094,CWE-79 - CWE definition,79,Zenworks Configuration Management,2013-06-17,XSS
CVE-2013-1093,CWE-20 - CWE definition,20,Zenworks Configuration Management,2013-06-17,
CVE-2013-1084,CWE-22 - CWE definition,22,Zenworks Configuration Management,2013-11-02,Dir. Trav.
CVE-2013-1080,CWE-287 - CWE definition,287,Zenworks Configuration Management,2013-03-29,Dir. Trav.
CVE-2013-1079,CWE-22 - CWE definition,22,Zenworks Configuration Management,2013-03-29,Dir. Trav.
CVE-2012-2223,CWE-200 - CWE definition,200,Zenworks Configuration Management,2012-04-11,+Info
CVE-2012-2215,CWE-22 - CWE definition,22,Zenworks Configuration Management,2012-04-09,Dir. Trav.
CVE-2011-3176,CWE-119 - CWE definition,119,Zenworks Configuration Management,2012-04-09,Exec Code Overflow
CVE-2011-3175,CWE-119 - CWE definition,119,Zenworks Configuration Management,2012-04-09,Exec Code Overflow
CVE-2011-3174,CWE-119 - CWE definition,119,Zenworks Configuration Management,2012-07-26,Exec Code Overflow
CVE-2011-2658,CWE-264 - CWE definition,264,Zenworks Configuration Management,2012-07-26,Exec Code
CVE-2011-2657,CWE-22 - CWE definition,22,Zenworks Configuration Management,2012-07-26,Exec Code Dir. Trav.
CVE-2010-5324,CWE-22 - CWE definition,22,Zenworks Configuration Management,2015-06-07,Exec Code Dir. Trav.
CVE-2010-5323,CWE-22 - CWE definition,22,Zenworks Configuration Management,2015-06-07,Exec Code Dir. Trav.
CVE-2010-4229,CWE-22 - CWE definition,22,Zenworks Configuration Management,2011-04-18,Exec Code Dir. Trav.
